Group Name,Facebook URL,Segment,Priority,Parents 4-8 Score,Book Promotion Allowed,Engagement,Group Size,English Audience,ARC Friendly,Review Potential,Kromi Fit,Status,Notes
Kids Book Club for Parents,https://www.facebook.com/groups/kidsbooksparents/,Parents/Children's Books,A+,10,Yes,High,Large,Yes,No,9,10,Not contacted,Parent book recommendation group
Children's Picture Book Authors and Readers,https://www.facebook.com/groups/1486836004877610/,Children's Books/Authors,A+,9,Yes,High,Large,Yes,Yes,9,9,Not contacted,Children’s picture book authors and readers
Our Children's Book Club,https://www.facebook.com/groups/433986570364175/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Children’s book club
Children's Book Club,https://www.facebook.com/groups/235652357878664/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Children’s book club
Kids Book Café,https://www.facebook.com/groups/kidsbookcafe/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Book café group
"Children's Books Authors, Writers, Illustrators, Readers",https://www.facebook.com/groups/childrensbooksauthorsandillustrators/,Children's Books,A,8,Yes,High,Large,Yes,Yes,8,8,Not contacted,"Authors, illustrators, readers"
Children's Book Authors/Writers Group,https://www.facebook.com/groups/write4kids/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Authors/writers group
Children's Book Writers USA,https://www.facebook.com/groups/CBWUSA/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Writers USA group
Children's Picture Book Writers and Illustrators,https://www.facebook.com/groups/1238028593222362/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Picture book writers and illustrators
Promoting Books for Kids,https://www.facebook.com/groups/1368570139882657/,Book Promotion/Children's Books,A,9,Yes,Medium,Medium,Yes,Yes,9,9,Not contacted,Book promotion group
Indie Children's Book Authors and Illustrators,https://www.facebook.com/groups/1836452183243396/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Indie authors and illustrators
Homeschooling Your Kids,https://www.facebook.com/groups/537569880501387/,Homeschool,B,7,Limited,High,Large,Yes,No,6,7,Not contacted,Homeschooling your kids
Friendly Home Education & Home Schooling HELP,https://www.facebook.com/groups/994693681332418/,Homeschool,B,7,Limited,Medium,Medium,Yes,No,5,7,Not contacted,Friendly home education group
Homeschooling For Beginners,https://www.facebook.com/groups/1909888556055021/,Homeschool,B,7,Limited,High,Large,Yes,No,5,7,Not contacted,Homeschooling for beginners
Homeschool Moms,https://www.facebook.com/groups/467088916727307/,Homeschool/Parents,B,8,Limited,High,Large,Yes,No,5,8,Not contacted,Homeschool moms group
ARC Readers,https://www.facebook.com/groups/861716437509743/,ARC/Reviewers,A+,9,Yes,Medium,Large,Yes,Yes,10,8,Not contacted,General ARC readers
ARC Readers Authors,https://www.facebook.com/groups/arc.readers.authors/,ARC/Reviewers,A+,8,Yes,Medium,Large,Yes,Yes,10,7,Not contacted,ARC readers and authors
ARC Readers & Reviewers,https://www.facebook.com/groups/1658272217720742/,ARC/Reviewers,A+,8,Yes,Medium,Large,Yes,Yes,10,7,Not contacted,ARC readers & reviewers
Beta and ARC Readers,https://www.facebook.com/groups/346067425967006/,ARC/Reviewers,A,7,Yes,Medium,Medium,Yes,Yes,9,6,Not contacted,Beta and ARC readers
Honest Book Reviewers,https://www.facebook.com/groups/346067425967006/,ARC/Reviewers,A,7,Yes,Medium,Medium,Yes,Yes,9,6,Not contacted,Honest book reviewers
A Modern Charlotte Mason,https://www.facebook.com/groups/amoderncharlottemason/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Affording The Homeschool Life,https://www.facebook.com/groups/affordingthehomeschoollife/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Brave Schoolers,https://www.facebook.com/groups/braveschoolers/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Brave Schooling Middle & High School,https://www.facebook.com/groups/braveschoolingmiddlehighschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Brave Writer Lifestyle Group,https://www.facebook.com/groups/bravewriterlifestyle/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Charlotte Mason Show,https://www.facebook.com/groups/charlottemasonshow/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Christian Homeschooling With Netflix,https://www.facebook.com/groups/christianhomeschoolingwithnetflix/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Easy Peasy All-In-One Homeschool,https://www.facebook.com/groups/easypeasyhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Fieldschooling Adventures,https://www.facebook.com/groups/fieldschoolingadventures/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Finding Joy In Your Homeschool Journey,https://www.facebook.com/groups/findingjoyinyourhomeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Free Homeschooling Curriculum,https://www.facebook.com/groups/freehomeschoolingcurriculum/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Co-Op and Freebies,https://www.facebook.com/groups/homeschoolcoopandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Connections,https://www.facebook.com/groups/homeschoolconnections/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Educational Free Market group,https://www.facebook.com/groups/homeschooleducationalfreemarket/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool For Free,https://www.facebook.com/groups/homeschoolforfree/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Freebies Galore,https://www.facebook.com/groups/homeschoolfreebiesgalore/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Gameschool,https://www.facebook.com/groups/homeschoolgameschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Giveaways & Freebies,https://www.facebook.com/groups/homeschoolgiveawaysandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Journey,https://www.facebook.com/groups/homeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Planning and Organizing,https://www.facebook.com/groups/homeschoolplanningandorganizing/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling Mom’s Hangout,https://www.facebook.com/groups/homeschoolingmomshangout/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling And Unschooling,https://www.facebook.com/groups/homeschoolingandunschooling/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling With Pinterest,https://www.facebook.com/groups/homeschoolingwithpinterest/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
iHomeschool Network,https://www.facebook.com/groups/ihomeschoolnetwork/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
It’s Not That Hard To Homeschool High School,https://www.facebook.com/groups/notthathardhomeschoolhigh/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Life of Fred,https://www.facebook.com/groups/lifeoffred/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Music In Our Homeschool,https://www.facebook.com/groups/musicinourhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
My Joy-Filled Homeschool,https://www.facebook.com/groups/myjoyfilledhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
New To Dynamic Homeschooler,https://www.facebook.com/groups/newtodynamichomeschooler/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Real Life Homeschool Spaces,https://www.facebook.com/groups/reallifehomeschoolspaces/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
